x,y,z,label,source
0.2871994,1.155234,-0.3531871,0,HeadPositionNS
0.2871588,1.155214,-0.3531857,0,HeadPositionNS
0.2871277,1.155188,-0.3531906,0,HeadPositionNS
0.2870867,1.155179,-0.3531756,0,HeadPositionNS
0.2870604,1.155161,-0.3531589,0,HeadPositionNS
0.2870214,1.155166,-0.3531409,0,HeadPositionNS
0.2870043,1.155168,-0.3531432,0,HeadPositionNS
0.2870074,1.155179,-0.3531387,0,HeadPositionNS
0.2870277,1.155174,-0.3531367,0,HeadPositionNS
0.2870582,1.155174,-0.3531421,0,HeadPositionNS
0.2870777,1.155159,-0.3531516,0,HeadPositionNS
0.2870921,1.155149,-0.3531579,0,HeadPositionNS
0.2871013,1.155144,-0.3531576,0,HeadPositionNS
0.2871029,1.155142,-0.3531539,0,HeadPositionNS
0.2871071,1.155152,-0.3531388,0,HeadPositionNS
0.2871342,1.155133,-0.3531364,0,HeadPositionNS
0.2871401,1.155128,-0.3531503,0,HeadPositionNS
0.2871535,1.155109,-0.3531745,0,HeadPositionNS
0.2871898,1.155089,-0.3531886,0,HeadPositionNS
0.2872102,1.155118,-0.3531964,0,HeadPositionNS
0.2872263,1.155152,-0.3531927,0,HeadPositionNS
0.2872246,1.155173,-0.3531877,0,HeadPositionNS
0.2872291,1.155182,-0.3532008,0,HeadPositionNS
0.2872485,1.155189,-0.3532413,0,HeadPositionNS
0.2872733,1.155192,-0.3532836,0,HeadPositionNS
0.2873099,1.155166,-0.353329,0,HeadPositionNS
0.2873243,1.155108,-0.3533691,0,HeadPositionNS
0.2873317,1.155085,-0.3534084,0,HeadPositionNS
0.2873146,1.155073,-0.3534481,0,HeadPositionNS
0.2873033,1.155075,-0.3534841,0,HeadPositionNS
0.2872612,1.155061,-0.3534929,0,HeadPositionNS
0.2872258,1.155037,-0.3535146,0,HeadPositionNS
0.2871757,1.15503,-0.3535208,0,HeadPositionNS
0.2871371,1.155055,-0.3535294,0,HeadPositionNS
0.28712,1.155074,-0.3535427,0,HeadPositionNS
0.2871189,1.155106,-0.3535697,0,HeadPositionNS
0.2871327,1.155167,-0.3535866,0,HeadPositionNS
0.2871235,1.155197,-0.3535812,0,HeadPositionNS
0.2871139,1.155228,-0.3535638,0,HeadPositionNS
0.2871134,1.155253,-0.3535649,0,HeadPositionNS
0.2871278,1.155263,-0.353567,0,HeadPositionNS
0.2871164,1.155277,-0.3535775,0,HeadPositionNS
0.2871072,1.155268,-0.3535973,0,HeadPositionNS
0.2870874,1.155263,-0.3536063,0,HeadPositionNS
0.287081,1.155236,-0.3536056,0,HeadPositionNS
0.2870725,1.155213,-0.3535968,0,HeadPositionNS
0.2870449,1.155182,-0.3535834,0,HeadPositionNS
0.2870084,1.155143,-0.3535606,0,HeadPositionNS
0.2869775,1.155109,-0.3535405,0,HeadPositionNS
0.2869758,1.155097,-0.3535312,0,HeadPositionNS
0.2869796,1.155099,-0.3535145,0,HeadPositionNS
0.2869849,1.155117,-0.3535121,0,HeadPositionNS
0.2869882,1.155112,-0.3535273,0,HeadPositionNS
0.286996,1.155084,-0.3535517,0,HeadPositionNS
0.2869956,1.155083,-0.3535426,0,HeadPositionNS
0.2869917,1.155076,-0.3535367,0,HeadPositionNS
0.2869431,1.1551,-0.3535164,0,HeadPositionNS
0.2868963,1.15511,-0.3535037,0,HeadPositionNS
0.286837,1.15512,-0.3534884,0,HeadPositionNS
0.286799,1.155084,-0.3534739,0,HeadPositionNS
0.2867568,1.155063,-0.3534691,0,HeadPositionNS
0.2867105,1.155044,-0.3534736,0,HeadPositionNS
0.2866676,1.155029,-0.353488,0,HeadPositionNS
0.2866431,1.155036,-0.3534888,0,HeadPositionNS
0.28663,1.155041,-0.3534875,0,HeadPositionNS
0.2865767,1.155055,-0.3534779,0,HeadPositionNS
0.2865488,1.15506,-0.3534724,0,HeadPositionNS
0.2865314,1.155069,-0.3534601,0,HeadPositionNS
0.2865406,1.155079,-0.3534504,0,HeadPositionNS
0.2865562,1.15508,-0.3534485,0,HeadPositionNS
0.2865667,1.155078,-0.3534432,0,HeadPositionNS
0.2865761,1.155084,-0.3534279,0,HeadPositionNS
0.2865753,1.155103,-0.3534044,0,HeadPositionNS
0.2865677,1.155091,-0.3533924,0,HeadPositionNS
0.2865569,1.155083,-0.3533893,0,HeadPositionNS
0.2865488,1.155055,-0.3533875,0,HeadPositionNS
0.2865473,1.155019,-0.3533853,0,HeadPositionNS
0.286545,1.154972,-0.3533582,0,HeadPositionNS
0.2865514,1.154978,-0.3533528,0,HeadPositionNS
0.2865648,1.15502,-0.3533422,0,HeadPositionNS
0.286597,1.155056,-0.3533106,0,HeadPositionNS
0.2866361,1.155077,-0.3532722,0,HeadPositionNS
0.2866628,1.155089,-0.3532585,0,HeadPositionNS
0.2866656,1.155096,-0.3532813,0,HeadPositionNS
0.2866754,1.155066,-0.3533106,0,HeadPositionNS
0.2866798,1.155003,-0.3533097,0,HeadPositionNS
0.2866832,1.154953,-0.3533067,0,HeadPositionNS
0.2866606,1.154925,-0.3533024,0,HeadPositionNS
0.2866324,1.154934,-0.353309,0,HeadPositionNS
0.2865941,1.154941,-0.3533182,0,HeadPositionNS
0.2865644,1.154933,-0.3533091,0,HeadPositionNS
0.2865353,1.154912,-0.3533183,0,HeadPositionNS
0.2864892,1.15491,-0.35334,0,HeadPositionNS
0.2864526,1.15491,-0.353368,0,HeadPositionNS
0.2864317,1.154933,-0.3533877,0,HeadPositionNS
0.2864205,1.154945,-0.3533853,0,HeadPositionNS
0.2864157,1.154985,-0.3533801,0,HeadPositionNS
0.2864267,1.155009,-0.3533778,0,HeadPositionNS
0.2864335,1.155036,-0.3533879,0,HeadPositionNS
0.2864508,1.155056,-0.3533843,0,HeadPositionNS
0.2864864,1.155072,-0.3533908,0,HeadPositionNS
0.2865105,1.155055,-0.3533959,0,HeadPositionNS
0.2865245,1.155008,-0.3533849,0,HeadPositionNS
0.2865178,1.154982,-0.3533773,0,HeadPositionNS
0.2865065,1.154954,-0.353369,0,HeadPositionNS
0.2864866,1.154948,-0.3533728,0,HeadPositionNS
0.2864581,1.154947,-0.3533575,0,HeadPositionNS
0.2864617,1.154944,-0.3533373,0,HeadPositionNS
0.2864427,1.154951,-0.3533129,0,HeadPositionNS
0.2863734,1.154949,-0.3532611,0,HeadPositionNS
0.286317,1.154959,-0.353212,0,HeadPositionNS
0.2862532,1.154966,-0.3531823,0,HeadPositionNS
0.2862153,1.154968,-0.3531637,0,HeadPositionNS
0.2861914,1.15497,-0.3531351,0,HeadPositionNS
0.2862016,1.154981,-0.3530777,0,HeadPositionNS
0.2862023,1.15498,-0.3530384,0,HeadPositionNS
0.2861938,1.154995,-0.3530256,0,HeadPositionNS
0.2861833,1.154982,-0.3530166,0,HeadPositionNS
0.2861746,1.154973,-0.3530163,0,HeadPositionNS
0.2861719,1.15495,-0.3530074,0,HeadPositionNS
0.286201,1.154923,-0.3529763,0,HeadPositionNS
0.286226,1.154906,-0.3529527,0,HeadPositionNS
0.2862247,1.154897,-0.3529619,0,HeadPositionNS
0.2862146,1.1549,-0.3529711,0,HeadPositionNS
0.2862322,1.15491,-0.3529771,0,HeadPositionNS
0.2862506,1.154933,-0.3529837,0,HeadPositionNS
0.2862487,1.154951,-0.3529907,0,HeadPositionNS
0.2862491,1.154969,-0.3530036,0,HeadPositionNS
0.2862753,1.154994,-0.3530263,0,HeadPositionNS
0.2863234,1.155007,-0.3530513,0,HeadPositionNS
0.2863576,1.155002,-0.3530729,0,HeadPositionNS
0.2863796,1.154984,-0.3530955,0,HeadPositionNS
0.2864029,1.154993,-0.3531173,0,HeadPositionNS
0.2864279,1.155008,-0.3531398,0,HeadPositionNS
0.2864929,1.155015,-0.3531512,0,HeadPositionNS
0.2865505,1.155011,-0.3531549,0,HeadPositionNS
0.2866066,1.155026,-0.3531633,0,HeadPositionNS
0.2866222,1.154991,-0.3531835,0,HeadPositionNS
0.2866874,1.154971,-0.3532096,0,HeadPositionNS
0.2867326,1.155033,-0.3532163,0,HeadPositionNS
0.2867758,1.155129,-0.3532102,0,HeadPositionNS
0.2868003,1.155164,-0.3532083,0,HeadPositionNS
0.2868425,1.155169,-0.353219,0,HeadPositionNS
0.2869048,1.15515,-0.3532507,0,HeadPositionNS
0.2869604,1.155142,-0.3532685,0,HeadPositionNS
0.2870521,1.155061,-0.3533118,0,HeadPositionNS
0.2870799,1.15503,-0.3533291,0,HeadPositionNS
0.2871158,1.155003,-0.3533553,0,HeadPositionNS
0.2871548,1.154986,-0.3533835,0,HeadPositionNS
0.2871757,1.154985,-0.3534059,0,HeadPositionNS
0.2871873,1.154994,-0.35343,0,HeadPositionNS
0.2871899,1.155016,-0.3534545,0,HeadPositionNS
0.2872116,1.155042,-0.3534811,0,HeadPositionNS
0.2872234,1.155063,-0.3535101,0,HeadPositionNS
0.2872499,1.155079,-0.3535396,0,HeadPositionNS
0.2873031,1.155078,-0.3535659,0,HeadPositionNS
0.2873283,1.155107,-0.353585,0,HeadPositionNS
0.2873663,1.155115,-0.3535995,0,HeadPositionNS
0.2873862,1.15511,-0.353601,0,HeadPositionNS
0.2874052,1.155112,-0.3535951,0,HeadPositionNS
0.2874212,1.155115,-0.353598,0,HeadPositionNS
